epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.33702,2.93773,3.85429,2.60798,0.00317,0.20833,0.00339,0.00102,3.9748,3.72184,3.73811,1.25e-05,1.25e-05,1.25e-05
2,3.43079,2.77134,3.78424,2.52843,0.00305,0.20833,0.00346,0.00086,3.93102,3.67056,3.7518,3.72525e-05,3.72525e-05,3.72525e-05
3,4.71021,2.66276,3.77417,2.47396,0.0036,0.25,0.00383,0.00096,3.93255,3.66631,3.78016,6.1675e-05,6.1675e-05,6.1675e-05
4,5.5695,3.26469,3.92487,2.84206,0.00354,0.25,0.00361,0.00082,3.87521,3.65175,3.76093,8.57675e-05,8.57675e-05,8.57675e-05
5,6.78125,2.90955,3.83286,2.61285,0.00481,0.29167,0.01796,0.00385,2.66472,3.4981,2.64489,0.00010953,0.00010953,0.00010953
6,7.83736,2.09883,3.56843,2.03615,0.0127,0.875,0.22204,0.13625,1.41097,3.18698,1.72036,0.000132962,0.000132962,0.000132962
7,8.94761,1.55629,3.45135,1.705,0.01483,1,0.2988,0.1425,1.43007,3.06806,1.5382,0.000156065,0.000156065,0.000156065
8,10.3503,1.4318,3.36083,1.6417,0.01991,1,0.15279,0.08338,1.50754,3.07079,1.51583,0.000178838,0.000178838,0.000178838
9,11.5108,1.29158,3.09161,1.53123,0.02583,1,0.13331,0.07409,1.55348,3.10616,1.58123,0.00020128,0.00020128,0.00020128
10,13.1228,1.31724,2.83805,1.6009,0.02854,0.91667,0.11995,0.056,1.53763,3.18007,1.6315,0.000223392,0.000223392,0.000223392
11,14.5907,1.0963,2.69175,1.38149,0.03061,0.875,0.13182,0.08031,1.48028,3.18547,1.59343,0.000245175,0.000245175,0.000245175
12,15.597,1.08611,2.62683,1.39675,0.04245,0.95833,0.13834,0.08907,1.40728,3.12026,1.52036,0.000266628,0.000266628,0.000266628
13,16.7544,0.97501,2.26443,1.29466,0.0406,0.95833,0.19345,0.11796,1.28804,3.06638,1.40038,0.00028775,0.00028775,0.00028775
14,17.7971,0.88596,2.14544,1.25681,0.03945,0.95833,0.30066,0.19501,1.19917,3.02665,1.34211,0.000308542,0.000308542,0.000308542
15,18.8363,1.07054,2.16236,1.35896,0.03271,0.91667,0.30811,0.18317,1.20083,3.02705,1.35698,0.000329005,0.000329005,0.000329005
16,20.1415,0.92974,1.87711,1.24248,0.02906,0.83333,0.26705,0.18466,1.28896,2.96642,1.36056,0.000349138,0.000349138,0.000349138
17,21.3071,0.7632,1.74763,1.16337,0.02227,0.70833,0.31473,0.18097,1.43023,2.89597,1.41387,0.00036894,0.00036894,0.00036894
18,22.4183,0.89561,1.71193,1.21517,0.49304,0.375,0.31819,0.21645,1.24302,2.68771,1.30194,0.000388412,0.000388412,0.000388412
19,23.5987,0.83451,1.7356,1.19153,0.83597,0.29375,0.4407,0.33274,1.12516,2.47061,1.23573,0.000407555,0.000407555,0.000407555
20,24.7664,0.87756,1.60327,1.2051,0.89949,0.20833,0.49828,0.34228,1.1017,2.46931,1.25934,0.000426368,0.000426368,0.000426368
21,26.4848,0.79597,1.58418,1.15679,0.86454,0.17696,0.45929,0.285,1.37814,2.54459,1.46139,0.00044485,0.00044485,0.00044485
22,28.212,0.83523,1.62514,1.16588,0.98683,0.125,0.40081,0.22626,1.61287,2.5243,1.64082,0.000463003,0.000463003,0.000463003
23,29.3117,0.77978,1.54341,1.15585,0.81472,0.29167,0.49818,0.3492,1.23514,2.23037,1.30854,0.000480825,0.000480825,0.000480825
24,30.5347,0.79979,1.40761,1.1685,0.86535,0.375,0.56307,0.45775,0.92481,1.87118,1.10587,0.000498318,0.000498318,0.000498318
25,31.5974,0.62402,1.35591,1.07372,0.9086,0.40936,0.63759,0.47244,0.88302,1.69607,1.1103,0.00051548,0.00051548,0.00051548
26,32.6873,0.65353,1.23878,1.04689,0.87631,0.41667,0.66326,0.50524,0.89251,1.66884,1.14296,0.000532313,0.000532313,0.000532313
27,33.8749,0.73686,1.26586,1.10967,0.88855,0.41667,0.73807,0.57166,0.82955,1.69228,1.10343,0.000548815,0.000548815,0.000548815
28,34.884,0.68611,1.17255,1.02357,0.88855,0.41667,0.73807,0.57166,0.82955,1.69228,1.10343,0.000564988,0.000564988,0.000564988
29,36.101,0.6203,1.20794,1.06637,0.90725,0.49696,0.78261,0.64573,0.64592,1.5038,0.97961,0.00058083,0.00058083,0.00058083
30,37.3247,0.55684,1.11981,1.01093,0.92822,0.5,0.78425,0.631,0.68502,1.41151,1.01753,0.000596342,0.000596342,0.000596342
31,38.6525,0.64891,1.11831,1.07705,0.92822,0.5,0.78425,0.631,0.68502,1.41151,1.01753,0.000611525,0.000611525,0.000611525
32,40.2853,0.70757,1.25541,1.06189,0.94917,0.5,0.80556,0.66261,0.68985,1.2904,1.03794,0.000626377,0.000626377,0.000626377
33,41.7502,0.63544,1.15227,1.08944,0.59366,0.5,0.8476,0.69764,0.66485,1.25617,1.03265,0.0006409,0.0006409,0.0006409
34,42.6516,0.63767,1.19541,1.05981,0.59366,0.5,0.8476,0.69764,0.66485,1.25617,1.03265,0.000655093,0.000655093,0.000655093
35,43.8989,0.70513,1.15294,0.99342,0.83337,0.5,0.83876,0.69967,0.64813,1.19538,1.03215,0.000668955,0.000668955,0.000668955
36,44.9557,0.67407,1.10502,1.01146,0.99035,0.5,0.85933,0.68567,0.69237,1.25172,1.03002,0.000682487,0.000682487,0.000682487
37,45.9444,0.67555,1.05495,1.04719,0.99035,0.5,0.85933,0.68567,0.69237,1.25172,1.03002,0.00069569,0.00069569,0.00069569
38,47.1126,0.70069,1.05557,1.05473,0.84818,0.54219,0.85889,0.6914,0.65155,1.3099,0.99319,0.000708562,0.000708562,0.000708562
39,48.1674,0.67686,1.20239,1.05088,0.83951,0.55299,0.83308,0.67051,0.67553,1.3641,0.99559,0.000721105,0.000721105,0.000721105
40,49.4183,0.60639,1.0403,0.99772,0.83951,0.55299,0.83308,0.67051,0.67553,1.3641,0.99559,0.000733317,0.000733317,0.000733317
41,50.4961,0.63192,1.04506,1.0268,0.84086,0.65533,0.86204,0.68906,0.74977,1.27178,1.0648,0.0007452,0.0007452,0.0007452
42,51.9469,0.55402,1.01214,0.99225,0.64474,0.70502,0.87711,0.69105,0.72288,1.27289,1.10032,0.000756753,0.000756753,0.000756753
43,53.8884,0.51332,0.97855,1.05196,0.64474,0.70502,0.87711,0.69105,0.72288,1.27289,1.10032,0.000767975,0.000767975,0.000767975
44,55.1906,0.54975,1.0877,1.00799,0.70471,0.85901,0.8669,0.68297,0.72698,1.41559,1.06037,0.000778868,0.000778868,0.000778868
45,56.2716,0.68051,1.13515,1.07689,0.70471,0.85901,0.8669,0.68297,0.72698,1.41559,1.06037,0.00078943,0.00078943,0.00078943
46,57.2586,0.52221,0.93848,0.98517,0.69064,0.83061,0.77586,0.61574,0.78218,1.59479,1.07354,0.000799662,0.000799662,0.000799662
47,58.2608,0.54876,0.92531,0.98122,0.69064,0.83061,0.77586,0.61574,0.78218,1.59479,1.07354,0.000809565,0.000809565,0.000809565
48,59.3605,0.56656,0.95977,1.00461,0.68557,0.88031,0.89285,0.71814,0.76066,1.33076,1.09026,0.000819137,0.000819137,0.000819137
49,60.4267,0.57438,0.93147,0.97939,0.68557,0.88031,0.89285,0.71814,0.76066,1.33076,1.09026,0.00082838,0.00082838,0.00082838
50,61.8723,0.54028,0.95767,1.00076,0.71492,0.95833,0.91494,0.73338,0.69799,1.18464,1.00121,0.000837292,0.000837292,0.000837292
51,63.0917,0.63631,1.02727,0.99122,0.71492,0.95833,0.91494,0.73338,0.69799,1.18464,1.00121,0.0008375,0.0008375,0.0008375
52,64.5126,0.53027,0.86186,0.93488,0.8951,0.89244,0.92877,0.71288,0.69964,1.00263,0.97057,0.00082925,0.00082925,0.00082925
53,66.0034,0.64054,0.9985,1.05049,0.8951,0.89244,0.92877,0.71288,0.69964,1.00263,0.97057,0.000821,0.000821,0.000821
54,68.008,0.53626,0.90166,0.9833,0.96509,0.7902,0.94907,0.71359,0.6846,1.02309,0.96278,0.00081275,0.00081275,0.00081275
55,68.9588,0.57448,0.89603,1.0114,0.96509,0.7902,0.94907,0.71359,0.6846,1.02309,0.96278,0.0008045,0.0008045,0.0008045
56,70.114,0.48027,0.82655,0.97345,0.93668,0.79444,0.95357,0.75462,0.71142,0.97446,0.97983,0.00079625,0.00079625,0.00079625
57,71.2651,0.45894,0.80946,0.95887,0.93668,0.79444,0.95357,0.75462,0.71142,0.97446,0.97983,0.000788,0.000788,0.000788
58,72.5727,0.48898,0.81046,0.95943,0.93466,0.84417,0.96129,0.78036,0.72392,0.8828,0.98222,0.00077975,0.00077975,0.00077975
59,73.7318,0.67912,1.00372,1.05315,0.93466,0.84417,0.96129,0.78036,0.72392,0.8828,0.98222,0.0007715,0.0007715,0.0007715
60,74.8597,0.55521,0.87917,1.02442,0.8891,0.92196,0.96503,0.81229,0.65848,0.80047,0.98165,0.00076325,0.00076325,0.00076325
61,76.0169,0.58061,0.86805,0.98751,0.8891,0.92196,0.96503,0.81229,0.65848,0.80047,0.98165,0.000755,0.000755,0.000755
62,77.0324,0.67212,0.95698,1.02683,0.95739,0.97078,0.98929,0.86871,0.52729,0.72236,0.93245,0.00074675,0.00074675,0.00074675
63,78.5361,0.51062,0.80054,0.96472,0.95739,0.97078,0.98929,0.86871,0.52729,0.72236,0.93245,0.0007385,0.0007385,0.0007385
64,80.3076,0.54418,0.9338,1.00026,0.99042,0.99845,0.995,0.90493,0.43651,0.67615,0.88158,0.00073025,0.00073025,0.00073025
65,81.7274,0.51711,0.80565,0.96907,0.99042,0.99845,0.995,0.90493,0.43651,0.67615,0.88158,0.000722,0.000722,0.000722
66,82.7284,0.50485,0.84043,0.97283,0.97649,0.99805,0.995,0.92205,0.4202,0.63955,0.87216,0.00071375,0.00071375,0.00071375
67,83.6979,0.51806,0.83714,1.00777,0.97649,0.99805,0.995,0.92205,0.4202,0.63955,0.87216,0.0007055,0.0007055,0.0007055
68,84.8381,0.49,0.77736,0.94998,0.96839,0.98815,0.995,0.86157,0.49214,0.67797,0.89908,0.00069725,0.00069725,0.00069725
69,85.891,0.4938,0.8963,1.06931,0.96839,0.98815,0.995,0.86157,0.49214,0.67797,0.89908,0.000689,0.000689,0.000689
70,87.1281,0.49677,0.72057,0.96622,0.96431,0.97945,0.995,0.81926,0.54159,0.71328,0.95296,0.00068075,0.00068075,0.00068075
71,88.0678,0.52754,0.73413,0.94416,0.96431,0.97945,0.995,0.81926,0.54159,0.71328,0.95296,0.0006725,0.0006725,0.0006725
72,89.485,0.47067,0.7396,0.98139,0.96545,0.99149,0.995,0.8435,0.55272,0.64168,0.93912,0.00066425,0.00066425,0.00066425
73,90.5383,0.46847,0.69576,0.94813,0.96545,0.99149,0.995,0.8435,0.55272,0.64168,0.93912,0.000656,0.000656,0.000656
74,91.9798,0.45656,0.76745,0.96449,0.94317,0.99138,0.995,0.89422,0.51529,0.57538,0.88817,0.00064775,0.00064775,0.00064775
75,94.0468,0.53689,0.73222,0.96728,0.94317,0.99138,0.995,0.89422,0.51529,0.57538,0.88817,0.0006395,0.0006395,0.0006395
76,95.2988,0.58313,0.84552,1.00769,0.94132,0.96546,0.995,0.91829,0.45289,0.59728,0.85601,0.00063125,0.00063125,0.00063125
77,96.4689,0.52372,0.71453,0.94581,0.94132,0.96546,0.995,0.91829,0.45289,0.59728,0.85601,0.000623,0.000623,0.000623
78,97.4439,0.46449,0.64129,0.94548,0.93181,0.97483,0.98321,0.91676,0.39675,0.61017,0.83049,0.00061475,0.00061475,0.00061475
79,98.6345,0.53695,0.9647,1.06922,0.93181,0.97483,0.98321,0.91676,0.39675,0.61017,0.83049,0.0006065,0.0006065,0.0006065
80,99.6727,0.44531,0.75354,0.98832,0.99696,0.94157,0.995,0.87212,0.50756,0.62596,0.89787,0.00059825,0.00059825,0.00059825
81,100.74,0.46901,0.73455,0.98561,0.99696,0.94157,0.995,0.87212,0.50756,0.62596,0.89787,0.00059,0.00059,0.00059
82,101.678,0.40503,0.66164,0.96996,0.989,0.95141,0.995,0.83381,0.57709,0.66074,0.9852,0.00058175,0.00058175,0.00058175
83,102.611,0.43074,0.62481,0.91629,0.989,0.95141,0.995,0.83381,0.57709,0.66074,0.9852,0.0005735,0.0005735,0.0005735
84,103.877,0.50469,0.69974,0.92656,0.96645,0.97282,0.995,0.82823,0.58547,0.71847,1.01247,0.00056525,0.00056525,0.00056525
85,105.232,0.5124,0.89913,1.02463,0.96645,0.97282,0.995,0.82823,0.58547,0.71847,1.01247,0.000557,0.000557,0.000557
86,107.074,0.49635,0.77254,0.9424,0.96798,0.99306,0.995,0.8544,0.53198,0.73248,0.93931,0.00054875,0.00054875,0.00054875
87,108.307,0.4352,0.68058,0.94845,0.96798,0.99306,0.995,0.8544,0.53198,0.73248,0.93931,0.0005405,0.0005405,0.0005405
88,109.372,0.47871,0.70881,0.93607,0.92046,0.99395,0.995,0.89855,0.43702,0.71421,0.86529,0.00053225,0.00053225,0.00053225
89,110.25,0.43277,0.63703,0.92741,0.92046,0.99395,0.995,0.89855,0.43702,0.71421,0.86529,0.000524,0.000524,0.000524
90,111.638,0.45825,0.64843,0.95327,0.87103,0.94875,0.995,0.92127,0.36156,0.74868,0.83573,0.00051575,0.00051575,0.00051575
91,112.664,0.445,0.67802,0.94683,0.87103,0.94875,0.995,0.92127,0.36156,0.74868,0.83573,0.0005075,0.0005075,0.0005075
92,113.626,0.42688,0.66894,0.93321,0.90209,0.96773,0.995,0.93125,0.38213,0.74845,0.82615,0.00049925,0.00049925,0.00049925
93,114.623,0.49,0.79447,0.9693,0.90209,0.96773,0.995,0.93125,0.38213,0.74845,0.82615,0.000491,0.000491,0.000491
94,115.645,0.45429,0.65751,0.94868,0.91615,0.99236,0.995,0.9229,0.39547,0.63658,0.82563,0.00048275,0.00048275,0.00048275
95,116.486,0.4663,0.63133,0.90851,0.91615,0.99236,0.995,0.9229,0.39547,0.63658,0.82563,0.0004745,0.0004745,0.0004745
96,117.987,0.43984,0.68221,0.94051,0.95385,1,0.995,0.92454,0.40299,0.56048,0.82544,0.00046625,0.00046625,0.00046625
97,119.497,0.46121,0.65912,0.97544,0.95385,1,0.995,0.92454,0.40299,0.56048,0.82544,0.000458,0.000458,0.000458
98,121.119,0.39345,0.60863,0.91461,0.97205,0.99555,0.995,0.91588,0.38472,0.5051,0.81645,0.00044975,0.00044975,0.00044975
99,122.207,0.36689,0.57708,0.90267,0.97205,0.99555,0.995,0.91588,0.38472,0.5051,0.81645,0.0004415,0.0004415,0.0004415
100,123.282,0.42853,0.6149,0.92136,0.96443,0.99424,0.995,0.94545,0.34894,0.47322,0.80219,0.00043325,0.00043325,0.00043325
101,124.34,0.3845,0.59062,0.93144,0.96443,0.99424,0.995,0.94545,0.34894,0.47322,0.80219,0.000425,0.000425,0.000425
102,125.479,0.4165,0.62806,0.90051,0.9595,0.99249,0.995,0.93039,0.35091,0.45416,0.79973,0.00041675,0.00041675,0.00041675
103,126.428,0.47323,0.64947,0.97044,0.9595,0.99249,0.995,0.93039,0.35091,0.45416,0.79973,0.0004085,0.0004085,0.0004085
104,127.961,0.35486,0.58671,0.8957,0.98349,0.96926,0.995,0.93764,0.35325,0.44292,0.79747,0.00040025,0.00040025,0.00040025
105,128.887,0.38038,0.56908,0.91857,0.98349,0.96926,0.995,0.93764,0.35325,0.44292,0.79747,0.000392,0.000392,0.000392
106,130.054,0.36065,0.62085,0.91802,0.9917,0.96346,0.995,0.94143,0.36398,0.43262,0.79318,0.00038375,0.00038375,0.00038375
107,131.301,0.35841,0.59421,0.91402,0.9917,0.96346,0.995,0.94143,0.36398,0.43262,0.79318,0.0003755,0.0003755,0.0003755
108,132.924,0.41187,0.62629,0.94922,0.99153,0.9637,0.995,0.93591,0.36552,0.44118,0.7859,0.00036725,0.00036725,0.00036725
109,134.34,0.42266,0.69034,0.93141,0.99153,0.9637,0.995,0.93591,0.36552,0.44118,0.7859,0.000359,0.000359,0.000359
110,135.408,0.3661,0.60241,0.92874,0.98135,0.97331,0.995,0.94541,0.33302,0.41873,0.77803,0.00035075,0.00035075,0.00035075
111,136.543,0.42271,0.64458,0.90608,0.98135,0.97331,0.995,0.94541,0.33302,0.41873,0.77803,0.0003425,0.0003425,0.0003425
112,137.92,0.38165,0.61686,0.90386,0.97633,0.97837,0.995,0.94955,0.29168,0.38932,0.77248,0.00033425,0.00033425,0.00033425
113,138.945,0.37486,0.56907,0.86791,0.97633,0.97837,0.995,0.94955,0.29168,0.38932,0.77248,0.000326,0.000326,0.000326
114,140.05,0.39096,0.59222,0.88341,0.96438,0.99206,0.995,0.95289,0.2802,0.41011,0.76844,0.00031775,0.00031775,0.00031775
115,141.12,0.3567,0.54817,0.90259,0.96438,0.99206,0.995,0.95289,0.2802,0.41011,0.76844,0.0003095,0.0003095,0.0003095
116,142.256,0.32565,0.54455,0.89536,0.96859,0.99453,0.995,0.9439,0.29344,0.41285,0.77593,0.00030125,0.00030125,0.00030125
117,143.299,0.42088,0.66448,1.00818,0.96859,0.99453,0.995,0.9439,0.29344,0.41285,0.77593,0.000293,0.000293,0.000293
118,144.591,0.36741,0.58997,0.85639,0.97472,0.9958,0.995,0.95462,0.28385,0.42099,0.7772,0.00028475,0.00028475,0.00028475
119,146.19,0.34554,0.56027,0.85711,0.97472,0.9958,0.995,0.95462,0.28385,0.42099,0.7772,0.0002765,0.0002765,0.0002765
120,147.744,0.38491,0.56016,0.93122,0.98055,0.99869,0.995,0.96619,0.27613,0.42714,0.77688,0.00026825,0.00026825,0.00026825
121,149.026,0.43107,0.61738,0.92615,0.98055,0.99869,0.995,0.96619,0.27613,0.42714,0.77688,0.00026,0.00026,0.00026
122,150.299,0.33534,0.52765,0.87335,0.98511,1,0.995,0.97474,0.28254,0.43668,0.78051,0.00025175,0.00025175,0.00025175
123,151.346,0.32786,0.55912,0.92405,0.98511,1,0.995,0.97474,0.28254,0.43668,0.78051,0.0002435,0.0002435,0.0002435
124,152.43,0.37092,0.53369,0.90613,0.98808,1,0.995,0.95844,0.29146,0.43444,0.7813,0.00023525,0.00023525,0.00023525
125,153.499,0.32876,0.53965,0.88193,0.98808,1,0.995,0.95844,0.29146,0.43444,0.7813,0.000227,0.000227,0.000227
126,154.615,0.37083,0.6191,0.91765,0.98979,1,0.995,0.96687,0.29013,0.44688,0.77979,0.00021875,0.00021875,0.00021875
127,155.649,0.34547,0.54329,0.92985,0.98979,1,0.995,0.96687,0.29013,0.44688,0.77979,0.0002105,0.0002105,0.0002105
128,156.772,0.36119,0.55041,0.89172,0.98879,1,0.995,0.95109,0.30922,0.45371,0.78307,0.00020225,0.00020225,0.00020225
129,158.282,0.36057,0.60541,0.89253,0.98879,1,0.995,0.95109,0.30922,0.45371,0.78307,0.000194,0.000194,0.000194
130,160.167,0.33908,0.5461,0.8805,0.98776,1,0.995,0.94336,0.33073,0.44468,0.79187,0.00018575,0.00018575,0.00018575
131,161.528,0.38909,0.60671,0.88251,0.98776,1,0.995,0.94336,0.33073,0.44468,0.79187,0.0001775,0.0001775,0.0001775
132,162.716,0.41122,0.54359,0.8763,0.98466,1,0.995,0.94927,0.30258,0.42461,0.77661,0.00016925,0.00016925,0.00016925
133,163.762,0.42698,0.56504,0.94066,0.98466,1,0.995,0.94927,0.30258,0.42461,0.77661,0.000161,0.000161,0.000161
134,164.929,0.40612,0.61447,0.92592,0.98072,0.99882,0.995,0.97247,0.25621,0.40008,0.76217,0.00015275,0.00015275,0.00015275
135,165.965,0.39426,0.54797,0.89483,0.98072,0.99882,0.995,0.97247,0.25621,0.40008,0.76217,0.0001445,0.0001445,0.0001445
136,167.252,0.35303,0.53971,0.92282,0.9782,0.99766,0.995,0.97151,0.23537,0.38343,0.76144,0.00013625,0.00013625,0.00013625
137,168.276,0.38096,0.62212,0.91618,0.9782,0.99766,0.995,0.97151,0.23537,0.38343,0.76144,0.000128,0.000128,0.000128
138,169.475,0.31466,0.51175,0.89911,0.97717,0.9971,0.995,0.97446,0.23157,0.37469,0.7638,0.00011975,0.00011975,0.00011975
139,170.39,0.38118,0.54905,0.90957,0.97717,0.9971,0.995,0.97446,0.23157,0.37469,0.7638,0.0001115,0.0001115,0.0001115
140,172.002,0.34788,0.57578,0.95364,0.97586,0.99673,0.995,0.97796,0.22948,0.37223,0.76347,0.00010325,0.00010325,0.00010325
141,176.623,0.36663,0.67489,0.92689,0.97586,0.99673,0.995,0.97796,0.22948,0.37223,0.76347,9.5e-05,9.5e-05,9.5e-05
142,178.524,0.35246,0.62472,0.93171,0.97105,0.99529,0.995,0.97654,0.22168,0.37295,0.75859,8.675e-05,8.675e-05,8.675e-05
143,179.72,0.42345,0.66347,0.93866,0.97105,0.99529,0.995,0.97654,0.22168,0.37295,0.75859,7.85e-05,7.85e-05,7.85e-05
144,180.975,0.32811,0.59379,0.94349,0.96639,0.99455,0.995,0.98561,0.21646,0.37189,0.75295,7.025e-05,7.025e-05,7.025e-05
145,182.073,0.43948,0.65131,0.9785,0.96639,0.99455,0.995,0.98561,0.21646,0.37189,0.75295,6.2e-05,6.2e-05,6.2e-05
146,183.669,0.36905,0.63641,0.9274,0.96166,0.99416,0.995,0.9896,0.21699,0.36409,0.75085,5.375e-05,5.375e-05,5.375e-05
147,185.103,0.3256,0.57356,0.92112,0.96166,0.99416,0.995,0.9896,0.21699,0.36409,0.75085,4.55e-05,4.55e-05,4.55e-05
148,186.826,0.37046,0.57476,0.93196,0.96915,0.98469,0.995,0.9896,0.21482,0.35731,0.75108,3.725e-05,3.725e-05,3.725e-05
149,188.059,0.29788,0.57165,0.88942,0.96915,0.98469,0.995,0.9896,0.21482,0.35731,0.75108,2.9e-05,2.9e-05,2.9e-05
150,189.062,0.35118,0.59936,0.92299,0.98654,0.96651,0.995,0.9896,0.21349,0.3607,0.75051,2.075e-05,2.075e-05,2.075e-05
